id,product_tmpl_id/id,attribute_id/id,value_ids/id
ptal_fp_tra_thanh_xuan_tra,zed_custom.pt_fp_tra_thanh_xuan,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_tra_thanh_xuan_da,zed_custom.pt_fp_tra_thanh_xuan,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_tra_dao_cam_sa_ngot,zed_custom.pt_fp_tra_dao_cam_sa,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_tra_dao_cam_sa_tra,zed_custom.pt_fp_tra_dao_cam_sa,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_tra_dao_cam_sa_da,zed_custom.pt_fp_tra_dao_cam_sa,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_tra_viet_quat_nha_dam_ngot,zed_custom.pt_fp_tra_viet_quat_nha_dam,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_tra_viet_quat_nha_dam_tra,zed_custom.pt_fp_tra_viet_quat_nha_dam,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_tra_viet_quat_nha_dam_da,zed_custom.pt_fp_tra_viet_quat_nha_dam,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_cam_dao_dua_luoi_ngot,zed_custom.pt_fp_cam_dao_dua_luoi,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_cam_dao_dua_luoi_tra,zed_custom.pt_fp_cam_dao_dua_luoi,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_cam_dao_dua_luoi_da,zed_custom.pt_fp_cam_dao_dua_luoi,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_sua_tuoi_tc_dd_ngot,zed_custom.pt_fp_sua_tuoi_tc_dd,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_sua_tuoi_tc_dd_tra,zed_custom.pt_fp_sua_tuoi_tc_dd,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
